Geographic name,percent elderly 65+ 2016,percent elderly 85+ 2016,percent elderly 65+ 2011,percent elderly 85+ 2011,Latitude,Longitude,predicted 65+,predicted 85+
Portugal Cove South,20.0,0.0,15.625,0.0,47.613369,-52.842377,28.75,0.0
Trepassey,36.734693877551024,2.0408163265306123,22.807017543859647,1.7543859649122806,46.737496,-53.364128,64.59004654493401,2.61367704976729
St. Shott's,42.857142857142854,0.0,12.5,0.0,52.89,-60.511,100.0,0.0
Cape Broyle,19.148936170212767,0.0,20.0,2.0,47.095251,-52.95655,17.446808510638334,0.0
Renews-Cappahayden,29.03225806451613,0.0,15.151515151515152,3.0303030303030303,46.88541,-52.935499,56.79374389051827,0.0
Fermeuse,23.333333333333332,3.3333333333333335,15.625,0.0,46.976139,-52.944003,38.75,10.0
Aquaforte,37.5,0.0,25.0,0.0,47.006499,-52.958695,62.5,0.0
Ferryland,25.301204819277107,2.4096385542168677,19.35483870967742,2.1505376344086025,47.035664,-52.884379,37.19393703847663,2.9278403938333923
Gaskiers-Point La Haye,32.0,0.0,25.0,0.0,52.89,-60.511,46.0,0.0
Riverhead,29.72972972972973,0.0,21.428571428571427,0.0,52.89,-60.511,46.3320463320465,0.0
Mount Carmel-Mitchells Brook-St. Catherine's,32.35294117647059,0.0,25.71428571428571,2.857142857142857,47.132321,-53.497723,45.63025210084061,0.0
Colinet,33.33333333333333,0.0,33.33333333333333,0.0,47.219266,-53.552108,33.33333333333333,0.0
Branch,23.809523809523807,4.761904761904762,13.636363636363637,0.0,46.88206,-53.953498,44.15584415584408,14.28571428571422
Placentia,27.966101694915253,3.954802259887006,22.371967654986523,4.31266846361186,47.364083,-53.857708,39.15436977477293,3.2390698524372965
Fox Harbour,23.52941176470588,0.0,18.51851851851852,0.0,47.32123,-53.91255,33.55119825708084,0.0
Long Harbour-Mount Arlington Heights,25.0,0.0,19.35483870967742,3.225806451612903,47.385673,-53.756172,36.2903225806449,0.0
